id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance,latitude,longitude,categories_list,coordinates_list
tsiC3VpO-hZEb98Qk3p-DQ,amy-ruths-new-york,Amy Ruth's,https://s3-media2.fl.yelpcdn.com/bphoto/aX-TMDOSS2vO-0L47FoZ0Q/o.jpg,False,https://www.yelp.com/biz/amy-ruths-new-york?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,2655,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",4.0,"{'latitude': 40.80248, 'longitude': -73.95038}","['pickup', 'delivery']",$$,"{'address1': '113 W 116th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['113 W 116th St', 'New York, NY 10026']}",+12122808779,(212) 280-8779,283.3568802580045,40.80248,-73.95038,"['Southern', 'Soul Food']","[40.80248, -73.95038]"
UILT56veNs63NASF3dGRKA,fieldtrip-new-york-2,Fieldtrip,https://s3-media2.fl.yelpcdn.com/bphoto/L6EmVNXRYHihL4_OIE813Q/o.jpg,False,https://www.yelp.com/biz/fieldtrip-new-york-2?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,125,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.5,"{'latitude': 40.80165, 'longitude': -73.95029}","['pickup', 'delivery']",$$,"{'address1': '109 Malcolm X Blvd', 'address2': None, 'address3': None, 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['109 Malcolm X Blvd', 'New York, NY 10026']}",+19176393919,(917) 639-3919,290.33135147706747,40.80165,-73.95029,['American (New)'],"[40.80165, -73.95029]"
i9OqZT0dLMPC1TbMtyaIWQ,the-noodle-new-york,The Noodle,https://s3-media2.fl.yelpcdn.com/bphoto/xa9pJuWZOBUhmTkBaYJJXg/o.jpg,False,https://www.yelp.com/biz/the-noodle-new-york?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,42,"[{'alias': 'noodles', 'title': 'Noodles'}]",4.5,"{'latitude': 40.81002, 'longitude': -73.94352}","['pickup', 'delivery']",,"{'address1': '370 Malcolm X Blvd', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10027', 'country': 'US', 'state': 'NY', 'display_address': ['370 Malcolm X Blvd', 'New York, NY 10027']}",+16468500208,(646) 850-0208,1205.7146058347341,40.81002,-73.94352,['Noodles'],"[40.81002, -73.94352]"
4rWJGwb3rjDoZHA0AECa5A,melbas-restaurant-new-york-2,Melba's Restaurant,https://s3-media2.fl.yelpcdn.com/bphoto/-Osj3DK7Geyvx23aFhwXfQ/o.jpg,False,https://www.yelp.com/biz/melbas-restaurant-new-york-2?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,1154,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.0,"{'latitude': 40.8031468838453, 'longitude': -73.9565069228411}","['pickup', 'restaurant_reservation', 'delivery']",$$,"{'address1': '300 W 114th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['300 W 114th St', 'New York, NY 10026']}",+12128647777,(212) 864-7777,266.4729526604845,40.8031468838453,-73.9565069228411,"['American (Traditional)', 'Soul Food', 'Comfort Food']","[40.8031468838453, -73.9565069228411]"
ueVSTErmXbqtN1glQd5p5A,greedy-pot-new-york,Greedy Pot,https://s3-media3.fl.yelpcdn.com/bphoto/Tt1dWRZSxK6ZGisZGCBPlQ/o.jpg,False,https://www.yelp.com/biz/greedy-pot-new-york?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,32,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'bbq', 'title': 'Barbeque'}]",4.5,"{'latitude': 40.80417, 'longitude': -73.95216}",['delivery'],,"{'address1': '1944 7th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['1944 7th Ave', 'New York, NY 10026']}",+19176757676,(917) 675-7676,246.81561670644962,40.80417,-73.95216,"['Caribbean', 'Southern', 'Barbeque']","[40.80417, -73.95216]"
IJg3TdXz8IzKTfcspmr8MQ,seasoned-vegan-new-york-2,Seasoned Vegan,https://s3-media2.fl.yelpcdn.com/bphoto/4cA_jzY4x6IPWcB79n6aSQ/o.jpg,False,https://www.yelp.com/biz/seasoned-vegan-new-york-2?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,1167,"[{'alias': 'soulfood', 'title': 'Soul Food'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.0,"{'latitude': 40.800664, 'longitude': -73.952757}","['pickup', 'delivery']",$$,"{'address1': '55 Saint Nicholas Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['55 Saint Nicholas Ave', 'New York, NY 10026']}",+12122220092,(212) 222-0092,189.8962183654166,40.800664,-73.952757,"['Soul Food', 'American (Traditional)']","[40.800664, -73.952757]"
blaTQKod-nz94F3Fm_ZoYQ,osteria-laura-new-york,Osteria Laura,https://s3-media3.fl.yelpcdn.com/bphoto/xafcmRm6DDvcg7PYDrwICA/o.jpg,False,https://www.yelp.com/biz/osteria-laura-new-york?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,28,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]",4.5,"{'latitude': 40.80251, 'longitude': -73.95355}","['pickup', 'delivery']",,"{'address1': '1890 Adam Clayton Powell Jr Blvd', 'address2': '', 'address3': None, 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['1890 Adam Clayton Powell Jr Blvd', 'New York, NY 10026']}",+19172616575,(917) 261-6575,29.00555665826299,40.80251,-73.95355,"['Italian', 'Wine Bars']","[40.80251, -73.95355]"
XOnspIaW6mYVmrvgqOaYSQ,lolos-seafood-shack-new-york,LoLo's Seafood Shack,https://s3-media2.fl.yelpcdn.com/bphoto/rD6VskdfpjsNa72AFrHDIg/o.jpg,False,https://www.yelp.com/biz/lolos-seafood-shack-new-york?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,732,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'bars', 'title': 'Bars'}]",4.0,"{'latitude': 40.80486, 'longitude': -73.95567}","['pickup', 'delivery']",$$,"{'address1': '303 W 116th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['303 W 116th St', 'New York, NY 10026']}",+16466493356,(646) 649-3356,336.22951986225866,40.80486,-73.95567,"['Seafood', 'Bars']","[40.80486, -73.95567]"
UH_aksIxzGPPyhWZJbTP7A,cantina-taqueria-and-tequila-bar-new-york,Cantina Taqueria & Tequila Bar,https://s3-media4.fl.yelpcdn.com/bphoto/vCSe8HcrSNQS_br7Gua1Fg/o.jpg,False,https://www.yelp.com/biz/cantina-taqueria-and-tequila-bar-new-york?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,525,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'latin', 'title': 'Latin American'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 40.8003063353508, 'longitude': -73.9549569049235}","['pickup', 'delivery']",$$,"{'address1': '1838 7th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10026', 'country': 'US', 'state': 'NY', 'display_address': ['1838 7th Ave', 'New York, NY 10026']}",+18336982267,(833) 698-2267,243.5501877839809,40.8003063353508,-73.9549569049235,"['Mexican', 'Latin American', 'Cocktail Bars']","[40.8003063353508, -73.9549569049235]"
BQcgpQxUM39PMO_YDl_CqA,fredas-caribbean-and-soul-cuisine-new-york,Freda's Caribbean & Soul Cuisine,https://s3-media1.fl.yelpcdn.com/bphoto/4JLFuFJ2kpnpMHO7ZSqvyQ/o.jpg,False,https://www.yelp.com/biz/fredas-caribbean-and-soul-cuisine-new-york?adjust_creative=Ew22WtqM03RGdHlepBFF7g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Ew22WtqM03RGdHlepBFF7g,577,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",4.0,"{'latitude': 40.80095, 'longitude': -73.96141}","['pickup', 'delivery']",$$,"{'address1': '993 Columbus Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['993 Columbus Ave', 'New York, NY 10025']}",+19174093689,(917) 409-3689,665.2398200001619,40.80095,-73.96141,"['Caribbean', 'Soul Food']","[40.80095, -73.96141]"
